id,title,brand,model,category,year,price,condition,battery_health,km_ridden,frame_size,color,image_url,product_url,description,listed_date
11,Kathmandu Hybrid EXC 750,Cube,Kathmandu Hybrid EXC 750,E-Trekking,2023,1977.00,Very good,,5226,62 cm / XL,"grey'n'silver",https://likedbikes.com/cdn/shop/files/bike-69b91177b8aa71.70426525.webp?v=1775099309&width=1200,https://likedbikes.com/products/kathmandu-hybrid-exc-750-6697,"Aluminium trekking e-bike with Bosch Performance CX Gen4 (85 Nm), 750 Wh battery, SR Suntour XCR32 fork (100 mm), Shimano Deore 12-speed, integrated lights and fenders. 28-inch wheels, 27 kg.",
12,Stereo Hybrid 120 Race 750,Cube,Stereo Hybrid 120 Race 750,E-MTB Full Suspension,2024,2918.00,Very good,,91,47 cm / L,"sparkorange'n'black",https://likedbikes.com/cdn/shop/files/bike-698d8330c9b171.31750286.webp?v=1775012855&width=1200,https://likedbikes.com/products/stereo-hybrid-120-race-750-4687,"Aluminium e-MTB Fully with Bosch Performance CX Gen4 (85 Nm), 750 Wh battery, Fox 34 Float AWL fork (120 mm), Fox Float DPS EVOL shock, Shimano XT 12-speed. Only 91 km ridden. 29-inch wheels.",
13,Kathmandu Hybrid SLT 750,Cube,Kathmandu Hybrid SLT 750,E-Trekking,2022,2488.00,Very good,,141,50 cm / S,"grey'n'teak",https://likedbikes.com/cdn/shop/files/bike-698d8f246da059.91259817.webp?v=1775013274&width=1200,https://likedbikes.com/products/kathmandu-hybrid-slt-750-5641,"Premium Cube trekking e-bike with Wave frame, Bosch Performance CX Gen4 (85 Nm), 750 Wh battery, RockShox Recon Gold RL Air fork, Shimano XT brakes and 12-speed drivetrain, Bosch Kiox 300 display.",
14,Nuride Hybrid EXC 750 Allroad,Cube,Nuride Hybrid EXC 750 Allroad,E-Trekking,2023,2026.00,Good,,2033,46 cm / XS,"polarsilver'n'black",https://likedbikes.com/cdn/shop/files/bike-69b26ea2588a18.68279613.webp?v=1775099159&width=1200,https://likedbikes.com/products/nuride-hybrid-exc-750-allroad-6515,"Cube allroad trekking e-bike with Wave frame, Bosch Performance CX Gen4 (85 Nm), 750 Wh battery, X-Fusion MIG32 Air fork (100 mm), Shimano Deore 12-speed, Bosch Kiox 300 display. 28-inch wheels, 25 kg.",
15,Reaction Hybrid Race 750,Cube,Reaction Hybrid Race 750,E-MTB Hardtail,,1928.00,Good,,15046,48 cm / L,,https://likedbikes.com/cdn/shop/files/bike-69c64c9a850bf8.04548761.webp?v=1775014621&width=1200,https://likedbikes.com/products/reaction-hybrid-race-750-6841,"Cube e-MTB hardtail with Bosch motor and 750 Wh battery. High-mileage unit at 49% off the original €3799 retail price. Size L frame.",
16,Access WS SL,Cube,Access WS SL,Bicycle,,1024.00,Good,,,L,,https://likedbikes.com/cdn/shop/files/bike-698d8e0f54e526.57587302.webp?v=1775549660&width=1200,https://likedbikes.com/products/access-ws-sl-5622,"Cube Access WS SL non-electric women's-specific mountain bike. Refurbished in good condition. Original RRP €1099.",
17,AMS ONE11 C:68X Pro 29,Cube,AMS ONE11 C:68X Pro 29,Bicycle,,2513.00,Very good,,,XL,,https://likedbikes.com/cdn/shop/files/bike-698d84d3adc730.73696514.webp?v=1775012914&width=1200,https://likedbikes.com/products/ams-one11-c-68x-pro-29-5063,"Cube AMS ONE11 high-end 29-inch carbon mountain bike (non-electric). Premium C:68X Pro carbon frame. Original RRP €3999, 37% off.",
18,ULTIMATE C8+ HMB Belt,Gazelle,ULTIMATE C8+ HMB Belt,E-City,2022,2152.15,Very good,,412,53 cm / L,weiß,https://likedbikes.com/cdn/shop/files/bike-686e4a4c0ba500.59618909.webp?v=1774969093&width=1200,https://likedbikes.com/products/ultimate-c8-hmb-belt-16415,"Gazelle Dutch e-city bike with Bosch Active Line Plus motor (50 Nm), 500 Wh battery, Shimano Nexus 8-speed hub, belt drive, hydraulic disc brakes, Wave frame. Includes lights, fenders, rack, and frame lock.",
19,Arroyo C5 HMB Elite,Gazelle,Arroyo C5 HMB Elite,E-City,,1541.00,Good,,12296,M,,https://likedbikes.com/cdn/shop/files/bike-69bd16f3d85c60.53634815.webp?v=1775271639&width=1200,https://likedbikes.com/products/arroyo-c5-hmb-elite-6500,"Gazelle Dutch-style e-city bike with Bosch mid-drive motor. Comfortable Wave frame with upright riding position. High-mileage refurbished unit at an attractive price.",
20,Arroyo C8 HMB Elite,Gazelle,Arroyo C8 HMB Elite,E-City,,2292.00,Excellent,,618,L,,https://likedbikes.com/cdn/shop/files/bike-69ce57bed14503.21997284_928ca9f6-c5a1-4d39-a955-ed6e4902a2cc.webp?v=1775540140&width=1200,https://likedbikes.com/products/arroyo-c8-hmb-elite-6552,"Gazelle premium Dutch e-city bike with Bosch mid-drive motor, Shimano Nexus 8-speed hub, hydraulic brakes. Low mileage (618 km), fully equipped with fenders, integrated lights, rack, and frame lock.",
21,Bloom C380 HMS,Gazelle,Bloom C380 HMS,E-City,,1944.00,Excellent,,1265,M,,https://likedbikes.com/cdn/shop/files/bike-69ca18df6b2fc2.24080028.webp?v=1775014536&width=1200,https://likedbikes.com/products/bloom-c380-hms-6730,"Gazelle Bloom e-city bike with Shimano mid-drive motor. Classic Dutch design with low-step Wave frame, comfortable upright riding position. Excellent condition with 1265 km.",
22,E-Horizon Elite 6 Belt Lady,Bergamont,E-Horizon Elite 6 Belt Lady,E-Trekking,2024,1783.00,Very good,,161,48 cm / S,matt emerald green,https://likedbikes.com/cdn/shop/files/bike-shopimage1-1033-1-1752677240_9a4b43a6-1b81-4a76-aa53-0894f79a40d8.webp?v=1775012500&width=1200,https://likedbikes.com/products/e-horizon-elite-6-belt-lady-1033,"Bergamont e-trekking bike with Bosch Performance Line CX Gen4 motor, 625 Wh battery, Gates CDX carbon belt drive, Shimano Nexus 5-speed hub, Suntour NVX30 fork (75 mm). Aluminium frame, 28-inch wheels.",
23,E-Horizon Sport Wave black,Bergamont,E-Horizon Sport Wave black,E-City,2022,1521.00,Good,,1315,48 cm / M,black (matt),https://likedbikes.com/cdn/shop/files/bike-69c64c46a58da4.65013760.webp?v=1775014582&width=1200,https://likedbikes.com/products/e-horizon-sport-wave-black-6818,"Bergamont e-city bike with Bosch Performance Line CX Cruise Gen4 motor, 625 Wh battery, Shimano Deore 10-speed, Suntour NEX E25 fork (63 mm), Wave frame. Includes lights, fenders, and kickstand.",
24,JARIFA² 6.8,Focus,JARIFA² 6.8,E-MTB Hardtail,2022,2186.00,Excellent,,0,40 cm / S,Toronto grey,https://likedbikes.com/cdn/shop/files/bike-shopimage1-1112-1753801441.webp?v=1775547762&width=1200,https://likedbikes.com/products/jarifa-6-8-1112,"Focus e-MTB hardtail with Bosch Performance CX Smart motor (85 Nm), 625 Wh battery, Shimano Deore 11-speed, SR Suntour XCR 34 fork (100 mm), 29-inch wheels. Brand new condition (0 km).",
25,JARIFA² 6.7,Focus,JARIFA² 6.7,E-MTB Hardtail,2022,1853.57,Excellent,,0,48 cm / L,,https://likedbikes.com/cdn/shop/files/bike-686e4a4b9f4b28.61328328_7e81602d-d80b-46a0-be4c-71186755271c.webp?v=1775140767&width=1200,https://likedbikes.com/products/jarifa-6-7-14981,"Focus e-MTB hardtail from the JARIFA² range. Brand new condition (0 km) with Bosch motor and integrated battery. 29-inch wheels, MTB geometry for off-road use.",
26,JAM² 6.7,Focus,JAM² 6.7,E-MTB Full Suspension,2023,2577.64,Very good,,1832,42 cm / M,grau,https://likedbikes.com/cdn/shop/files/bike-686e4a50d00782.20169785.webp?v=1775141117&width=1200,https://likedbikes.com/products/jam-6-7-16137,"Focus full-suspension e-MTB with Bosch Performance CX Smart System (85 Nm), 625 Wh battery, Shimano Deore 12-speed, DVO Diamond E3 fork (160 mm), RockShox Deluxe Select shock, 29-inch wheels.",
27,JAM² 6.7,Focus,JAM² 6.7,E-MTB Full Suspension,2023,2674.79,Very good,,1193,42 cm / M,grau,https://likedbikes.com/cdn/shop/files/bike-686e4a50cdc099.53348535.webp?v=1775141107&width=1200,https://likedbikes.com/products/jam-6-7-16133,"Focus full-suspension e-MTB trail bike with Bosch Performance CX Smart (85 Nm), 625 Wh battery, Shimano Deore 12-speed, 4-piston hydraulic brakes, DVO fork (160 mm). Refurbished with 1193 km.",
28,JAM² 6.7,Focus,JAM² 6.7,E-MTB Full Suspension,2023,2597.64,Very good,,1700,42 cm / M,,https://likedbikes.com/cdn/shop/files/bike-686e4a50bbc9e5.93153599.webp?v=1775141071&width=1200,https://likedbikes.com/products/jam-6-7-16094,"Focus full-suspension e-MTB from the JAM² range. Bosch Performance CX Smart motor, 625 Wh battery, Shimano Deore 12-speed, 160 mm travel fork. 29-inch wheels. 1700 km ridden.",
29,JAM² 7.9,Focus,JAM² 7.9,E-MTB Full Suspension,2023,3434.00,Excellent,,0,47 cm / M,blau,https://likedbikes.com/cdn/shop/files/bike-686e4a56e4da39.91238359.webp?v=1775547682&width=1200,https://likedbikes.com/products/jam-7-9-16759,"Premium Focus full-suspension e-MTB with Shimano EP8 motor (85 Nm), 720 Wh battery, Shimano Deore XT 12-speed, FOX 34 Float Rhythm fork (150 mm), FOX Float X shock, DT Swiss H1900 wheels. Brand new (0 km).",
30,HardSeven 10,Haibike,HardSeven 10,E-MTB Hardtail,2022,2386.00,Excellent,,0,52 cm / XL,schwarz,https://likedbikes.com/cdn/shop/files/bike-shopimage1-haibike-hardseven-10-1-1753352356.webp?v=1775547711&width=1200,https://likedbikes.com/products/hardseven-10-16765,"Haibike e-MTB hardtail with Bosch Performance Line Smart System (75 Nm), 625 Wh battery, RockShox 35 Gold RL fork (120 mm), Shimano SLX/Deore 12-speed. 27.5-inch wheels, 23.9 kg. Brand new (0 km).",
31,HardSeven 10,Haibike,HardSeven 10,E-MTB Hardtail,2022,2386.00,Excellent,,0,52 cm / XL,schwarz,https://likedbikes.com/cdn/shop/files/bike-shopimage1-haibike-hardseven-10-1-1753352336_a3ff3769-e495-45ba-9b4d-aefdd3e33658.webp?v=1775547704&width=1200,https://likedbikes.com/products/hardseven-10-16764,"Second unit of Haibike HardSeven 10. Same specs: Bosch Performance Line Smart System, 625 Wh battery, RockShox fork, Shimano SLX/Deore 12-speed. Brand new condition (0 km). Original RRP €4499.",
32,AllMtn 1,Haibike,AllMtn 1,E-MTB Full Suspension,,2003.00,Good,,1857,L,,https://likedbikes.com/cdn/shop/files/bike-69b90ec9e3a1c7.76630041.webp?v=1775013381&width=1200,https://likedbikes.com/products/allmtn-1-5798,"Haibike AllMtn 1 full-suspension e-mountain bike. 150-160 mm travel, powerful motor support for versatile trail riding. Original RRP €4699, 57% off.",
33,AllMtn 7,Haibike,AllMtn 7,E-MTB Full Suspension,,3255.00,Very good,,3565,M,,https://likedbikes.com/cdn/shop/files/bike-698d870407d582.21906557.webp?v=1775026817&width=1200,https://likedbikes.com/products/allmtn-7-5264,"Haibike AllMtn 7 premium full-suspension e-MTB with high-spec suspension and drivetrain components. Original RRP €6599, 50% off.",
34,AllMtn CF 6,Haibike,AllMtn CF 6,E-MTB Full Suspension,,2891.00,Very good,,2035,M,,https://likedbikes.com/cdn/shop/files/bike-69c3ca39a0b411.79218690.webp?v=1775703667&width=1200,https://likedbikes.com/products/allmtn-cf-6-6535,"Haibike AllMtn CF 6 with lightweight carbon frame. Full-suspension e-mountain bike for improved trail performance. Original RRP €5899, 50% off.",
35,AllTrack 10,Haibike,AllTrack 10,E-MTB Hardtail,,2638.00,Very good,,614,XL,,https://likedbikes.com/cdn/shop/files/bike-69b3c4b3d0d2e1.11798622.webp?v=1775013693&width=1200,https://likedbikes.com/products/alltrack-10-6021,"Haibike AllTrack 10 e-bike designed for forest and gravel roads. Sporty geometry for agile off-road riding. Only 614 km. Original RRP €4999, 47% off.",
36,AllTrail 4,Haibike,AllTrail 4,E-MTB Full Suspension,,2176.00,Very good,,560,L,,https://likedbikes.com/cdn/shop/files/bike-69ae81c07c7908.72745812.webp?v=1775098983&width=1200,https://likedbikes.com/products/alltrail-4-6224,"Haibike AllTrail 4 full-suspension e-MTB for maximum traction on rooted paths and steep descents. Only 560 km ridden. Original RRP €4399, 50% off.",
37,Patron eRIDE 910,Scott,Patron eRIDE 910,E-MTB Full Suspension,2022,2626.00,Very good,,2969,44 cm / M,Prism Misty Grey,https://likedbikes.com/cdn/shop/files/bike-698d8ebc8443b3.96146721.webp?v=1775013257&width=1200,https://likedbikes.com/products/patron-eride-910-5630,"Scott full-suspension e-MTB with Bosch Performance CX motor, 750 Wh battery, FOX 38 Performance fork (160 mm), FOX Float EVOL shock, Shimano XT 12-speed, Maxxis Assegai/DHR II tires. 29-inch wheels, 26 kg.",
38,Axis eRIDE 10 Men,Scott,Axis eRIDE 10 Men,E-Trekking,,1792.00,Good,,630,XL,,https://likedbikes.com/cdn/shop/files/bike-69b9113a5b3a24.88637653.webp?v=1775099277&width=1200,https://likedbikes.com/products/axis-eride-10-men-6597,"Scott Axis eRIDE 10 Men e-trekking bike combining sportive handling with urban and touring capabilities. Original RRP €3999, 55% off.",
39,Axis eRIDE ER 10,Scott,Axis eRIDE ER 10,E-Trekking,,1370.00,Good,,11522,L,,https://likedbikes.com/cdn/shop/files/bike-69b90f279cc9c6.94934364.webp?v=1775013485&width=1200,https://likedbikes.com/products/axis-eride-er-10-5850,"Scott Axis eRIDE ER 10 extended-range e-trekking bike. Higher mileage unit at significant discount. Original RRP €3999, 65% off.",
40,Macina All Terra,KTM,Macina All Terra,E-Trekking,2024,1906.00,Very good,,4736,53 cm / XL,vital blue matt,https://likedbikes.com/cdn/shop/files/bike-698d79a2535a85.04020952.webp?v=1775012558&width=1200,https://likedbikes.com/products/macina-all-terra-4282,"KTM e-trekking bike with Bosch Performance CX motor (85 Nm), 750 Wh battery, Suntour XCM fork (100 mm), Shimano Cues 10-speed, 29-inch wheels. Includes lights, mudguards, and kickstand. Original RRP €4399.",
41,Chacana LFC,KTM,Chacana LFC,E-MTB Full Suspension,,3191.00,Very good,,823,M,,https://likedbikes.com/cdn/shop/files/bike-698d7bb5e39f42.39205618.webp?v=1775012624&width=1200,https://likedbikes.com/products/chacana-lfc-4352,"KTM Chacana LFC high-end enduro/trail e-MTB with long-travel full suspension. Original RRP €6199, 48% off.",
42,Delite,Riese & Müller,Delite,E-Trekking,2023,3150.00,Very good,,955,51 cm / L,black matt,https://likedbikes.com/cdn/shop/files/bike-69b3c491b82368.86893698.webp?v=1775013675&width=1200,https://likedbikes.com/products/delite-6014,"Premium Riese & Müller e-trekking bike with Bosch Performance CX Gen4 motor, 625 Wh battery, Marzocchi Bomber Z2 fork (100 mm), rear shock, Magura MT5 brakes, Shimano Deore XT 11-speed. 27.5-inch wheels. Original RRP €6499.",
43,Charger 4 mixte GT vario,Riese & Müller,Charger 4 mixte GT vario,E-Trekking,,3086.00,Excellent,,786,M,,https://likedbikes.com/cdn/shop/files/bike-69ba7dafd234a4.60697327_edcabb47-b9c2-4f84-b2fb-e24cdd429660.webp?v=1775099293&width=1200,https://likedbikes.com/products/charger-4-mixte-gt-vario-6684,"Riese & Müller Charger 4 mixte GT vario e-trekking bike in excellent condition. Easy step-through mixte frame. Only 786 km. Original RRP €5918.80, 47% off.",
44,Rocket 504,Talos,Rocket 504,E-MTB Hardtail,2022,1029.00,Very good,,1538,53 cm / L,stone black matt,https://likedbikes.com/cdn/shop/files/bike-698d7c431717c7.66344806_ff49c908-b5a1-42a6-9919-517a8d80d105.webp?v=1775012646&width=1200,https://likedbikes.com/products/rocket-504-4373,"Budget Talos e-MTB hardtail with Bafang H400B rear hub motor (45 Nm), 504 Wh battery, RST Blaze fork (80 mm), Tektro hydraulic disc brakes, Shimano Altus 8-speed. 29-inch wheels, 22.3 kg. Original RRP €2099.",
45,Upstreet5 3.12,FLYER,Upstreet5 3.12,E-Trekking,2022,1639.00,Very good,,232,47 cm / M,Anthracite Gloss,https://likedbikes.com/cdn/shop/files/bike-69b3c47bb198e3.47014825.webp?v=1775013581&width=1200,https://likedbikes.com/products/upstreet5-3-12-5965,"Swiss premium FLYER e-trekking bike with Bosch motor, Diamant frame, 29-inch wheels. Only 232 km ridden. Original RRP €3649, 55% off.",
46,OVERVOLT AM 10.8,Lapierre,OVERVOLT AM 10.8,E-MTB Full Suspension,,4703.00,Very good,,180,43 cm / M,hexagonal blue,https://likedbikes.com/cdn/shop/files/bike-698d80f0dbe8c1.11943953_ac0f26cb-8d54-485b-8d76-9c0a414e801a.webp?v=1775012780&width=1200,https://likedbikes.com/products/overvolt-am-10-8-4606,"French-brand Lapierre premium e-MTB full suspension with Bosch motor, sportive performance design. Only 180 km ridden. Original RRP €9000, 47% off.",
47,No Pogo F860i,Centurion,No Pogo F860i,E-MTB Full Suspension,,1623.00,Very good,,7410,L,,https://likedbikes.com/cdn/shop/files/bike-69d4b2f92ab346.27789074_41ddfa39-cb5b-4797-9ed1-c30a8debc720.webp?v=1775570215&width=1200,https://likedbikes.com/en/products/no-pogo-f860i-6815,"Centurion No Pogo F860i German e-enduro with full suspension. Original RRP €4199, 61% off.",
48,Moterra Neo EQ,Cannondale,Moterra Neo EQ,E-MTB Full Suspension,,2343.00,Very good,,5929,L,,https://likedbikes.com/cdn/shop/files/bike-69d4b2ec768ef3.19746593.webp?v=1775547476&width=1200,https://likedbikes.com/en/products/moterra-neo-eq-6813,"Cannondale Moterra Neo EQ full-suspension electric mountain bike. Original RRP €5600, 58% off.",
49,Futura Comp I-11,Hercules,Futura Comp I-11,E-Trekking,,1453.00,Very good,,4939,L,,https://likedbikes.com/cdn/shop/files/bike-69d4b2c63cbda8.10339947_afac907a-c304-4f3d-b609-b20876328362.webp?v=1775570197&width=1200,https://likedbikes.com/en/products/futura-comp-i-11-6709,"Hercules Futura Comp I-11 e-bike with 11-speed internal hub gear. Practical urban/trekking e-bike. Original RRP €3599, 59% off.",
